選択,せんたく
選択ソート,せんたくそーと
前置記法,ぜんちきほう
挿入,そうにゅう
挿入ソート,そうにゅうそーと
双方向リスト,そうほうこうりすと
双方向連結リスト,そうほうこうれんけつりすと
添え字,そえじ
ソーケンシャルアクセス,そーけんしゃるあくせす
ソース,そーす
ソート,そーと
組織科学,そしきかがく
組織図,そしきず
ソフトウェア工学応用演習,そふとうぇあこうがくおうようえんしゅう
大変,たいへん
高松,たかまつ
竹林,たけばやし
助けてもらった,たすけてもらった
楽しかった,たのしかった
多分木,たぶんぎ
多分探索木,たぶんたんさくぎ
足りない,たりない
探索,たんさく
探索木,たんさくぎ
単純なアルゴリズム,たんじゅんなあるごりずむ
断片化,だんぺんか
端末,たんまつ
チェイン法,ちぇいんほう
知的インターフェース論,ちてきいんたーふぇーすろん
知的財産論,ちてきざいさんろん
知的情報システム開発,ちてきじょうほうしすてむかいはつ
中央値,ちゅうおうち
抽象データ型,ちゅうしょうでーたがた
地理情報システム論,ちりじょうほうしすてむろん
疲れた,つかれた
つらい,つらい
ディジタル信号処理,でぃじたるしんごうしょり
提出期限,ていしゅつきげん
データ,でーた
データ工学,でーたこうがく
データ構造,でーたこうぞう
データベースシステム論,でーたべーすしすてむろん
テキスト,てきすと
天使,てんし
電子メディア特論,でんしめでぃあとくろん
電子メディア論,でんしめでぃあろん
統計学入門,とうけいがくにゅうもん
動的計画法,どうてきけいかくほう
特別活動論,とくべつかつどうろん
内部整列,ないぶせいれつ
中区,なかく
中藤井,なかふじい
二分木,にぶんぎ
二分探索,にぶんたんさく
二分探索木,にぶんたんさくぎ
二分探索法,にぶんたんさくほう
日本語Ⅵ,にほんごⅥ
日本語III,にほんごIII
日本語IV,にほんごIV
日本語教室,にほんごきょうしつ
認知科学,にんちかがく
認知心理学,にんちしんりがく
眠い,ねむい
ノイローゼ,のいろーぜ
ノード,のーど
飲み物,のみもの
葉,は
ハードディスク,はーどでぃすく
バイナリサーチ,ばいなりさーち
配列,はいれつ
バグ,ばぐ
博物館教育論,はくぶつかんきょういくろん
博物館情報・メディア論,はくぶつかんじょうほう・めでぃあろん
バケット,ばけっと
場所,ばしょ
パターン,ぱたーん
パターンマッチ,ぱたーんまっち
バックトラック法,ばっくとらっくほう
ハッシュ,はっしゅ
ハッシュ関数,はっしゅかんすう
ハッシュ値,はっしゅち
ハッシュ表,はっしゅひょう
ハッシュ法,はっしゅほう
バブルソート,ばぶるそーと
浜松市,はままつし
班順序木,はんじゅんじょぎ
ヒープ,ひーぷ
ヒープソート,ひーぷそーと
比較,ひかく
NFA,ひけっていせいゆうげんおーとまとん
ビジネス計画論,びじねすけいかくろん
微分積分学Ⅱ(科1),びぶんせきぶんがくⅡ(か1)
ヒューマンインタフェース及び演習,ひゅーまんいんたふぇーすおよびえんしゅう
ビンソート,びんそーと
ファイル,ふぁいる
複素数,ふくそすう
福田直樹先生,ふくだなおきせんせい
腹痛,ふくつう
PDA,ぷっしゅだうんおーとまとん
部分木,ぶぶんぎ
プリプロセッサ,ぷりぷろせっさ
ブルームフィルタ,ぶるーむふぃるた
プレーバー,ぷれーばー
プログラミング,ぷろぐらみんぐ
プログラミング言語論,ぷろぐらみんぐげんごろん
プログラミング方法論,ぷろぐらみんぐほうほうろん
プログラム,ぷろぐらむ
プロジェクトマネジメント,ぷろじぇくとまねじめんと
ブロック,ぶろっく
プロファイラ,ぷろふぁいら
分割,ぶんかつ
分布数え上げソート,ぶんぷかぞえあげそーと
平均計算量,へいきんけいさんりょう
ページランク,ぺーじらんく
変数,へんすう
変数名,へんすうめい
ポインタ,ぽいんた
ボトムアップ,ぼとむあっぷ
ボトルネック,ぼとるねっく
本文,ほんぶん
マージ,まーじ
マージソート,まーじそーと
待ち行列,まちぎょうれつ
宮崎,みやざき
無限ループ,むげんるーぷ
無順序木,むじゅんじょぎ
無茶,むちゃ
無理,むり
メディア・スタディーズ,めでぃあ・すたでぃーず
メディア・スタディーズ演習,めでぃあ・すたでぃーずえんしゅう
メディアリテラシー,めでぃありてらしー
メモリ,めもり
メモリ管理,めもりかんり
@s.inf.shizuoka.ac.jp,めるあど
面倒くさい,めんどくさい
メンバ,めんば
目的,もくてき
文字クラス,もじくらす
文字数,もじすう
文字列,もじれつ
戻りアドレス,もどりあどれす
戻り値,もどりち
やめてほしい,やめてほしい
有限オートマトン,ゆうげんおーとまとん
ユーザ,ゆーざ
ユーザビリティ設計・評価論,ゆーざびりてぃせっけい・ひょうかろん
優先順位,ゆうせんじゅんい
優先順位付き待ち行列,ゆうせんじゅんいつきまちぎょうれつ
要素,ようそ
吉田,よしだ
ライティングスキルズII-1,らいてぃんぐすきるずII-1
ライティングスキルズII-2,らいてぃんぐすきるずII-2
ラベル,らべる
乱数,らんすう
ランダム,らんだむ
ランダムアクセス,らんだむあくせす
リア充,りあじゅう
リーディングスキルズⅠ-1,りーでぃんぐすきるずⅠ-1
リーディングスキルズⅡ-3,りーでぃんぐすきるずⅡ-3
リスト,りすと
Linux,りなっくす
リンク,りんく
リングバッファ,りんぐばっふぁ
歴史史料演習Ⅰ,れきししりょうえんしゅうⅠ
列,れつ
列挙,れっきょ
レベル,れべる
連結,れんけつ
連結リスト,れんけつりすと
計算結果,計算結果
線形代数学,線形代数学
配列,配列
